starname,ra_act,dec_act,x_img_py1,y_img_py1,x_act_py1,y_act_py1
12Li,223.5838657471477,-24.64216653951009,1435.9000244140625,869.3800048828125,1434.9947665966702,872.9128329043963
1Cen,206.4219016603525,-33.04377726915148,874.5499877929688,883.5,872.8329665291619,883.1268151215461
1Lup,228.65552928012843,-31.519166412353517,1415.3900146484375,599.1199951171875,1416.3627976313844,602.1579338872832
2Cen,207.36136551352405,-34.45075076293945,876.530029296875,833.5999755859375,875.1585075207265,833.1757763414148
2Lup,229.45755845484044,-30.14869431728787,1464.8800048828125,619.1099853515625,1465.7662750429977,622.5358078171192
3Crv,182.76605576421971,-23.602361492580837,343.6300048828125,1410.0,337.5604076405878,1406.5617259454957
47Hya,209.6297917317762,-24.97216717529297,1071.3199462890625,1071.2900390625,1068.531817663896,1072.5255861132084
48Hya,210.0003874380053,-25.010416666666668,1080.22998046875,1065.22998046875,1077.4883028813306,1066.5216082075053
4Cen,208.3021374907135,-31.931471586439343,934.4000244140625,892.2899780273438,932.6323612808899,892.2475075840428
4Li,220.8065742807742,-24.997611365424262,1356.8499755859375,906.030029296875,1355.5752219725232,909.0620048100732
50Hya,213.19174015262396,-27.261194444444445,1124.4000244140625,958.0900268554688,1122.4711213573082,959.5610914382432
51Hya,215.77427111633216,-27.753916666666665,1179.739990234375,907.8099975585938,1178.2364374967447,909.601197036598
52Hya,217.04340555459402,-29.491611365424262,1180.18994140625,842.0499877929688,1179.1463730845721,843.768629086464
53Vir,198.0147684702021,-16.198610221015084,876.9000244140625,1492.8900146484375,870.913857481141,1493.2641744433695
54Hya,221.5026662400365,-25.44413799879286,1365.8599853515625,882.510009765625,1364.808734503219,885.5085377334592
55Hya,221.84392247128534,-25.624333460489908,1371.0400390625,871.9199829101562,1370.0323305488437,875.0064555762324
55Vir,198.54537190662091,-19.9307771419949,844.27001953125,1363.81005859375,839.1386427852024,1363.8168654206602
56Hya,221.93671179055517,-26.087445080227322,1364.18994140625,857.8200073242188,1363.27461793348,860.8419372413966
57Hya,221.98959916127893,-26.646249872843423,1354.449951171875,841.8499755859375,1353.6288408832838,844.7860145181415
57Vir,198.9948733173511,-19.943165776570638,856.8300170898438,1357.969970703125,851.7576149841805,1358.0480430711996
58Hya,222.57209679698664,-27.960361874050566,1342.9100341796875,797.0599975585938,1342.3919657510964,799.8571304001473
59Hya,224.66349467223742,-27.657249618530273,1400.8399658203125,769.8699951171875,1400.5885225124434,773.0287480402764
60Hya,225.52707900037058,-28.06069368150499,1413.8699951171875,744.25,1413.8184269271324,747.4643642125391
61Vir,199.60125046538562,-18.31133257039388,895.3599853515625,1402.9599609375,890.0229337884124,1403.3690497737039
63Vir,200.7547409080649,-17.735305809868706,936.280029296875,1407.010009765625,930.9678635879129,1407.705403828499
69Vir,201.8632402135497,-15.973527332729763,993.260009765625,1450.2099609375,987.7122295872631,1451.3565964742284
6Crv,185.83986062122975,-24.840417302449545,427.6000061035156,1339.9300537109375,422.1177117994919,1337.0005496297263
75Vir,203.21523222694546,-15.363028159247504,1041.8599853515625,1452.2099609375,1036.3453243177844,1453.6950530559807
83Vir,206.1242509517004,-16.179110475328233,1113.760009765625,1385.56005859375,1108.8143188318838,1387.4776912787465
86Vir,206.4845832972103,-12.426528095669216,1186.06005859375,1504.75,1180.3666045997006,1507.3106333612582
87Vir,206.85572474944684,-17.859917048136392,1107.969970703125,1321.97998046875,1103.4596911776164,1323.780466934179
89Vir,207.46786097298144,-18.13416653951009,1120.8399658203125,1304.949951171875,1116.4626264258318,1306.8150890573172
alpha Crv,182.103179323412,-24.72888939751519,315.42999267578125,1377.2099609375,309.553803693087,1373.533817984025
alpha Lup,220.48245447118114,-47.38816844685872,932.5999755859375,324.1400146484375,934.8656636018129,323.4342415038009
alpha1 crucis,186.64975937004945,-63.09902650621202,143.4600067138672,97.48999786376953,146.24327098707352,90.9482916586062
alpha2 crucis,186.64975937004945,-63.09902650621202,143.5,97.47000122070312,146.24327098707352,90.9482916586062
beta Cen,210.95605869481992,-60.372970442030166,547.5599975585938,58.310001373291016,551.1689046530922,54.53493229480523
beta Cru,191.93035864046823,-59.68869546169705,264.1600036621094,201.6199951171875,266.3934111815934,196.0636187444229
beta Crv,188.59682200732502,-23.39672209506565,521.030029296875,1361.260009765625,515.5244341512436,1358.9969426811813
beta Hya,178.22729696311058,-33.90791819254557,147.1300048828125,1096.72998046875,142.9858119851981,1091.5456073911546
beta Lup,224.63293706181923,-43.13400178019206,1090.280029296875,374.4800109863281,1092.4081791552658,374.94178256727014
chi Cen,211.51170229416016,-41.179612382676865,867.1599731445312,601.8300170898438,867.395153579769,601.046215843046
delta Cen,182.08971064522768,-50.72241717529297,151.8800048828125,535.0999755859375,151.64472647391528,529.2192617193732
delta Cru,183.78614005049457,-58.74883358764649,130.39999389648438,259.6199951171875,132.04139966467085,253.2153042402863
delta Lup,230.34302678127307,-40.647668446858724,1252.6700439453125,342.3500061035156,1255.2312459704765,343.9012262765291
epsilon Cen,204.9719728150377,-53.46630631849501,563.4400024414062,320.3399963378906,565.2501957406188,317.04944322645133
epsilon Cru,185.3397773012286,-60.40122374810113,145.0500030517578,197.8800048828125,147.13330644442226,191.48513601113973
epsilon Crv,182.5311950084269,-22.619722349378797,343.1099853515625,1446.260009765625,336.794090963977,1442.8588838130718
epsilon Lup,230.67023526032966,-44.689417683919274,1169.719970703125,237.82000732421875,1172.91250311031,238.65901055494533
